fold,val_loss,val_mae,baseline_loss,importance_illuminance,importance_solar_radiation,importance_uv,importance_relative_humidity,importance_station_pressure,importance_wind_avg,importance_wind_gust,importance_day_of_year,importance_time_of_day,importance_temperature_delta,importance_temp_lag1,importance_humidity_lag1
1,11.319087028503418,2.938964366912842,11.319087028503418,0.0,0.0,0.0,-0.015097618103027344,-0.6877040863037109,-0.010779380798339844,0.8908624649047852,0.0,-0.7652244567871094,-0.11534976959228516,-0.20077991485595703,-0.01923084259033203
2,13.251962661743164,3.2473106384277344,13.251962661743164,0.0,0.0,0.0,-0.7541332244873047,-0.4993247985839844,-0.5273103713989258,0.46729469299316406,0.0,0.172515869140625,-0.3507404327392578,-0.6541728973388672,-1.2432441711425781
3,9.69636344909668,2.2994070053100586,9.69636344909668,0.0,0.0,0.0,0.13300418853759766,0.04904365539550781,0.05559730529785156,0.38518428802490234,0.0,-0.04674720764160156,-0.042736053466796875,-0.10639762878417969,0.04810142517089844
4,0.47431764006614685,0.5870826244354248,0.47431764006614685,0.0,0.0,0.0,0.011485785245895386,-0.008077085018157959,0.061144500970840454,0.015430718660354614,0.0,-0.13864359259605408,-0.04718261957168579,-0.053133249282836914,0.01000794768333435
5,8.780527114868164,2.594153881072998,8.780527114868164,0.0,0.0,0.0,-0.36679840087890625,-0.05475425720214844,-0.11547279357910156,-0.02127838134765625,0.0,-0.05805778503417969,-0.04838085174560547,-0.11577701568603516,-0.26371192932128906
6,2.3551368713378906,1.2921109199523926,2.3551368713378906,0.0,0.0,0.0,-0.6772201061248779,0.03390693664550781,0.13662195205688477,-0.09811162948608398,0.0,-0.05535697937011719,0.01769733428955078,-0.21840906143188477,-0.6756066083908081
7,5.5910563468933105,2.230358839035034,5.5910563468933105,0.0,0.0,0.0,-0.029082775115966797,-0.03047800064086914,-0.08469629287719727,-0.1276111602783203,0.0,-0.034680843353271484,-0.0021762847900390625,-0.0037870407104492188,-0.04397916793823242
8,1.5025392770767212,1.088186502456665,1.5025392770767212,0.0,0.0,0.0,-0.0027158260345458984,-0.003092169761657715,-0.04452860355377197,-0.0022145509719848633,0.0,-0.002062559127807617,-0.014820456504821777,0.004639863967895508,-0.006418347358703613
9,0.10654402524232864,0.2569906711578369,0.10654402524232864,0.0,0.0,0.0,-0.002169795334339142,-0.008323714137077332,0.07672912627458572,0.08688315004110336,0.0,0.00918935239315033,-0.013369187712669373,0.010742105543613434,0.0036370009183883667
10,0.9847033023834229,0.7111901044845581,0.9847033023834229,0.0494915246963501,0.0,0.0,-0.0015872716903686523,-0.006356716156005859,0.04933464527130127,-0.02073192596435547,0.0,0.022609710693359375,0.02667999267578125,0.04154777526855469,-0.002440929412841797
1,0.7662967443466187,0.677196741104126,0.7662967443466187,2.6660317182540894,0.7056070566177368,2.295392155647278,0.07992827892303467,-0.008677124977111816,0.08603036403656006,0.061520278453826904,-0.04422277212142944,7.470385193824768,0.4855787754058838,5.17461359500885,0.21482813358306885
2,0.9155697822570801,0.725408673286438,0.9155697822570801,1.136601448059082,0.30087530612945557,1.013567328453064,0.07522803544998169,0.06903600692749023,0.05721515417098999,0.03088212013244629,0.07540935277938843,3.994871139526367,0.04274451732635498,2.65170955657959,0.07948082685470581
3,2.25144624710083,1.222307801246643,2.25144624710083,0.4969673156738281,0.6005518436431885,2.337580680847168,1.7209551334381104,-0.17942333221435547,0.08014392852783203,0.12627315521240234,0.017787694931030273,4.793459892272949,0.6671743392944336,6.136987209320068,0.5202946662902832
4,0.35108813643455505,0.46763595938682556,0.35108813643455505,0.878556877374649,1.2903136312961578,0.7999894917011261,0.35243138670921326,0.22818663716316223,-0.001877516508102417,0.005736857652664185,0.018445968627929688,6.877650648355484,0.331725150346756,6.675269991159439,0.42814597487449646
5,1.774119257926941,1.0692908763885498,1.774119257926941,3.6841055154800415,5.732127785682678,4.401374459266663,1.9962245225906372,0.41715705394744873,0.04767334461212158,0.05787360668182373,-0.02699899673461914,12.074026226997375,1.5583351850509644,18.664265751838684,1.973228096961975
6,2.474215507507324,1.1482218503952026,2.474215507507324,0.6287417411804199,1.514327049255371,0.1470634937286377,1.3784458637237549,0.968834400177002,0.06897163391113281,-0.01522517204284668,-0.07368063926696777,8.88871955871582,0.8853862285614014,20.083909034729004,0.4960973262786865
7,0.6896711587905884,0.6259756684303284,0.6896711587905884,2.0975462198257446,2.3484641313552856,4.332111239433289,0.7533608675003052,0.3265141248703003,0.22375214099884033,0.21770477294921875,0.33863818645477295,16.37406289577484,0.4584357738494873,9.032320380210876,2.2068408727645874
8,1.8845643997192383,1.0585881471633911,1.8845643997192383,1.366870403289795,0.9845364093780518,0.2816190719604492,1.3100807666778564,0.06552612781524658,0.05145752429962158,0.05640614032745361,0.05745649337768555,9.904132843017578,0.09895563125610352,3.589571952819824,0.8942456245422363
9,1.1733144521713257,0.9255504012107849,1.1733144521713257,1.4772809743881226,2.45716392993927,0.9548097848892212,2.712100625038147,0.1025770902633667,0.18706393241882324,0.25511014461517334,0.2286304235458374,15.015976548194885,0.6053123474121094,11.345615983009338,2.9723721742630005
10,1.3740090131759644,0.8629184365272522,1.3740090131759644,1.651955246925354,3.2182995080947876,0.7502843141555786,2.681378960609436,0.23319613933563232,0.05561959743499756,0.18351054191589355,-0.0036848783493041992,19.543673634529114,1.0353456735610962,32.57378685474396,2.4133235216140747
1,2.405507802963257,1.1747076511383057,2.405507802963257,1.1885809898376465,2.4198830127716064,2.0399529933929443,0.1780405044555664,0.4320967197418213,0.05102992057800293,0.028667926788330078,0.7131538391113281,7.123920679092407,0.6784982681274414,6.504215478897095,0.4651498794555664
2,23.550989151000977,3.264524459838867,23.550989151000977,4.727876663208008,11.39116096496582,5.380037307739258,4.77226448059082,-1.7253742218017578,0.6241950988769531,0.031585693359375,-0.9903774261474609,22.81565284729004,1.003335952758789,17.628644943237305,3.0323448181152344
3,10.2216157913208,2.6265056133270264,10.2216157913208,1.6365671157836914,1.0407257080078125,0.4910621643066406,0.13773155212402344,-1.789137840270996,0.2698936462402344,0.10674095153808594,0.01922607421875,4.89299201965332,-0.1092996597290039,1.9459590911865234,1.1076745986938477
